Name of the Project,Link to the project,Procurement Details,Link to the Procurement,Date of Publishment
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant; Procurement Evaluation Panel Expert - 2;,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00092901,"August 9, 2020"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant; Procurement Evaluation Panel Expert-1,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00092963,"August 9, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of Automated RNA extraction machine-7 unit with RNA extraction kit-500,000",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00093481,"July 30, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,"Supply, delivery  and installation of Air Condition system in DHM Building at Babarmahal",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00092788,"July 22, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,Supply and Delivery of Office Equipment,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00092789,"July 22, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,"Supply, Delivery and Installation of Solar system in Radar Station, Surkhet",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00092791,"July 22, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,"Supply, Delivery and Installation of  UPS at DHM Office",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00092792,"July 22, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,"Supply, delivery and installation of Audio visual and multimidia system at DHM office",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00092793,"July 22, 2020"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Individual Procurement Specialist for four (4) years  (intermittent input),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00092232,"July 10, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,Development of Audio Visual Documentary of Project Activities (C 4.5),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091941,"July 6, 2020"
NP Rural Water Supply and Sanitation Improvement Project - P143036,http://projects.worldbank.org/en/projects-operations/project-detail/P143036,Procurement of Motorbikes for MWASH unit,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091677,"June 29, 2020"
NP Rural Water Supply and Sanitation Improvement Project - P143036,http://projects.worldbank.org/en/projects-operations/project-detail/P143036,Procurement of Electronic goods for MWASH Unit,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091678,"June 29, 2020"
NP Rural Water Supply and Sanitation Improvement Project - P143036,http://projects.worldbank.org/en/projects-operations/project-detail/P143036,Procurement of VMW toolkit for WSUCs,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091679,"June 29, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Drugs for COVID-19,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091477,"June 25, 2020"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Drugs for COVID-19,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091478,"June 25, 2020"
Integrated Platform for Gender Based Violence Prevention and Response in Nepal - P155096,http://projects.worldbank.org/en/projects-operations/project-detail/P155096,Nepal Bar Association has 89 branches and provides legal aid for the survivors of GBV.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091410,"June 24, 2020"
Integrated Platform for Gender Based Violence Prevention and Response in Nepal - P155096,http://projects.worldbank.org/en/projects-operations/project-detail/P155096,Procurement Specialist with sound knowledge of World Bank's rules and regulation is required for preparation and update of the Procurement Plan.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091323,"June 23, 2020"
Integrated Platform for Gender Based Violence Prevention and Response in Nepal - P155096,http://projects.worldbank.org/en/projects-operations/project-detail/P155096,Partner Organization to provide legal services to Helpline Clients.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091329,"June 23, 2020"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Drafting of Citizen Engagement Strategy in PFM of Nepal,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00091042,"June 19, 2020"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Detailed engineering Design of  Upgradation of Kamala-Dhalkebar- Pathlaiya Section of Mahendra Highway and associated Bridges,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090061,"June 18, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,Furniture for DHM Head Office (B.5),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090561,"June 13, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,"Audio Video, Security and Multimedia System at new DHM Building (A.3.2)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090562,"June 13, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,"Upgrading of OHM Offices, Hydro-logical & Meteorological Offices (Desktop Computers, Printers, Scanners & Photocopiers etc)-50 nos.(B.2)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090563,"June 13, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,Solar System at new DHM Building (60 KVA)-(B.5),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090564,"June 13, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,Solar System at RADAR Station (B.1.4),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090568,"June 13, 2020"
Building Resilience to Climate Related Hazards - P127508,http://projects.worldbank.org/en/projects-operations/project-detail/P127508,Air Condition (AC) at DHM New Building (A.3.2),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090560,"June 12, 2020"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Environmental Social Impact Assessment (ESIA), RAP and VCDP of Kamala-Dhalkebar-Pathlaiya",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090425,"June 11, 2020"
SREP-Supported Extended Biogas Project - P131592,http://projects.worldbank.org/en/projects-operations/project-detail/P131592,Hiring of Individual Consultant for the Position of Provincial Project Coordination and Monitoring Officer (Gandaki Province),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090334,"June 10, 2020"
SREP-Supported Extended Biogas Project - P131592,http://projects.worldbank.org/en/projects-operations/project-detail/P131592,Hiring of Individual Consultant for the Position of Provincial Project Coordination and Monitoring Officer(Province 5),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090336,"June 10, 2020"
SREP-Supported Extended Biogas Project - P131592,http://projects.worldbank.org/en/projects-operations/project-detail/P131592,Hiring of Individual Consultant for the Position of Provincial Project Coordination and Monitoring Officer (Sudurpaschim Province),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090339,"June 10, 2020"
SREP-Supported Extended Biogas Project - P131592,http://projects.worldbank.org/en/projects-operations/project-detail/P131592,Hiring of Individual Consultant for the Position of Provincial Project Coordination and Monitoring Officer (Province 1),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090341,"June 10, 2020"
SREP-Supported Extended Biogas Project - P131592,http://projects.worldbank.org/en/projects-operations/project-detail/P131592,Hiring of Individual Consultant for the Position of Provincial Project Coordination and Monitoring Officer (Karnali Province),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090343,"June 10, 2020"
SREP-Supported Extended Biogas Project - P131592,http://projects.worldbank.org/en/projects-operations/project-detail/P131592,Hiring of Individual Consultant for the Position of Provincial Project Coordinator (including project focal person of Bagmati Province),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00090344,"June 10, 2020"
